year,state,area,ref
1988,ac,620,complete
1988,am,1510,complete
1988,ap,60,complete
1988,ma,2450,complete
1988,mt,5140,complete
1988,pa,6990,complete
1988,ro,2340,complete
1988,rr,290,complete
1988,to,1650,complete
1989,ac,540,complete
1989,am,1180,complete
1989,ap,130,complete
1989,ma,1420,complete
1989,mt,5960,complete
1989,pa,5750,complete
1989,ro,1430,complete
1989,rr,630,complete
1989,to,730,complete
1990,ac,550,complete
1990,am,520,complete
1990,ap,250,complete
1990,ma,1100,complete
1990,mt,4020,complete
1990,pa,4890,complete
1990,ro,1670,complete
1990,rr,150,complete
1990,to,580,complete
1991,ac,380,complete
1991,am,980,complete
1991,ap,410,complete
1991,ma,670,complete
1991,mt,2840,complete
1991,pa,3780,complete
1991,ro,1110,complete
1991,rr,420,complete
1991,to,440,complete
1992,ac,400,complete
1992,am,799,complete
1992,ap,36,complete
1992,ma,1135,complete
1992,mt,4674,complete
1992,pa,3787,complete
1992,ro,2265,complete
1992,rr,281,complete
1992,to,409,complete
1993,ac,482,complete
1993,am,370,complete
1993,ap,0,complete
1993,ma,372,complete
1993,mt,6220,complete
1993,pa,4284,complete
1993,ro,2595,complete
1993,rr,240,complete
1993,to,333,complete
1994,ac,482,complete
1994,am,370,complete
1994,ap,0,complete
1994,ma,372,complete
1994,mt,6220,complete
1994,pa,4284,complete
1994,ro,2595,complete
1994,rr,240,complete
1994,to,333,complete
1995,ac,1208,complete
1995,am,2114,complete
1995,ap,9,complete
1995,ma,1745,complete
1995,mt,10391,complete
1995,pa,7845,complete
1995,ro,4730,complete
1995,rr,220,complete
1995,to,797,complete
1996,ac,433,complete
1996,am,1023,complete
1996,ap,0,complete
1996,ma,1061,complete
1996,mt,6543,complete
1996,pa,6135,complete
1996,ro,2432,complete
1996,rr,214,complete
1996,to,320,complete
1997,ac,358,complete
1997,am,589,complete
1997,ap,18,complete
1997,ma,409,complete
1997,mt,5271,complete
1997,pa,4139,complete
1997,ro,1986,complete
1997,rr,184,complete
1997,to,273,complete
1998,ac,536,complete
1998,am,670,complete
1998,ap,30,complete
1998,ma,1012,complete
1998,mt,6466,complete
1998,pa,5829,complete
1998,ro,2041,complete
1998,rr,223,complete
1998,to,576,complete
1999,ac,441,complete
1999,am,720,complete
1999,ap,0,complete
1999,ma,1230,complete
1999,mt,6963,complete
1999,pa,5111,complete
1999,ro,2358,complete
1999,rr,220,complete
1999,to,216,complete
2000,ac,547,complete
2000,am,612,complete
2000,ap,0,complete
2000,ma,1065,complete
2000,mt,6369,complete
2000,pa,6671,complete
2000,ro,2465,complete
2000,rr,253,complete
2000,to,244,complete
2001,ac,419,complete
2001,am,634,complete
2001,ap,7,complete
2001,ma,958,complete
2001,mt,7703,complete
2001,pa,5237,complete
2001,ro,2673,complete
2001,rr,345,complete
2001,to,189,complete
2002,ac,883,complete
2002,am,885,complete
2002,ap,0,complete
2002,ma,1085,complete
2002,mt,7892,complete
2002,pa,7510,complete
2002,ro,3099,complete
2002,rr,84,complete
2002,to,212,complete
2003,ac,1078,complete
2003,am,1558,complete
2003,ap,25,complete
2003,ma,993,complete
2003,mt,10405,complete
2003,pa,7145,complete
2003,ro,3597,complete
2003,rr,439,complete
2003,to,156,complete
2004,ac,728,complete
2004,am,1232,complete
2004,ap,46,complete
2004,ma,755,complete
2004,mt,11814,complete
2004,pa,8870,complete
2004,ro,3858,complete
2004,rr,311,complete
2004,to,158,complete
2005,ac,592,complete
2005,am,775,complete
2005,ap,33,complete
2005,ma,922,complete
2005,mt,7145,complete
2005,pa,5899,complete
2005,ro,3244,complete
2005,rr,133,complete
2005,to,271,complete
2006,ac,398,complete
2006,am,788,complete
2006,ap,30,complete
2006,ma,674,complete
2006,mt,4333,complete
2006,pa,5659,complete
2006,ro,2049,complete
2006,rr,231,complete
2006,to,124,complete
2007,ac,184,complete
2007,am,610,complete
2007,ap,39,complete
2007,ma,631,complete
2007,mt,2678,complete
2007,pa,5526,complete
2007,ro,1611,complete
2007,rr,309,complete
2007,to,63,complete
2008,ac,254,complete
2008,am,604,complete
2008,ap,100,complete
2008,ma,1271,complete
2008,mt,3258,complete
2008,pa,5607,complete
2008,ro,1136,complete
2008,rr,574,complete
2008,to,107,complete
2009,ac,167,complete
2009,am,405,complete
2009,ap,70,complete
2009,ma,828,complete
2009,mt,1049,complete
2009,pa,4281,complete
2009,ro,482,complete
2009,rr,121,complete
2009,to,61,complete
2010,ac,259,complete
2010,am,595,complete
2010,ap,53,complete
2010,ma,712,complete
2010,mt,871,complete
2010,pa,3770,complete
2010,ro,435,complete
2010,rr,256,complete
2010,to,49,complete
2011,ac,280,complete
2011,am,502,complete
2011,ap,66,complete
2011,ma,396,complete
2011,mt,1120,complete
2011,pa,3008,complete
2011,ro,865,complete
2011,rr,141,complete
2011,to,40,complete
2012,ac,305,complete
2012,am,523,complete
2012,ap,27,complete
2012,ma,269,complete
2012,mt,757,complete
2012,pa,1741,complete
2012,ro,773,complete
2012,rr,124,complete
2012,to,52,complete
2013,ac,221,complete
2013,am,583,complete
2013,ap,23,complete
2013,ma,403,complete
2013,mt,1139,complete
2013,pa,2346,complete
2013,ro,932,complete
2013,rr,170,complete
2013,to,74,complete
2014,ac,309,complete
2014,am,500,complete
2014,ap,31,complete
2014,ma,257,complete
2014,mt,1075,complete
2014,pa,1887,complete
2014,ro,684,complete
2014,rr,219,complete
2014,to,50,complete
2015,ac,264,complete
2015,am,712,complete
2015,ap,25,complete
2015,ma,209,complete
2015,mt,1601,complete
2015,pa,2153,complete
2015,ro,1030,complete
2015,rr,156,complete
2015,to,57,complete
2016,ac,372,complete
2016,am,1129,complete
2016,ap,17,complete
2016,ma,258,complete
2016,mt,1489,complete
2016,pa,2992,complete
2016,ro,1376,complete
2016,rr,202,complete
2016,to,58,complete
2017,ac,257,complete
2017,am,1001,complete
2017,ap,24,complete
2017,ma,265,complete
2017,mt,1561,complete
2017,pa,2433,complete
2017,ro,1243,complete
2017,rr,132,complete
2017,to,31,complete
2018,ac,444,complete
2018,am,1045,complete
2018,ap,24,complete
2018,ma,253,complete
2018,mt,1490,complete
2018,pa,2744,complete
2018,ro,1316,complete
2018,rr,195,complete
2018,to,25,complete
2019,ac,682,complete
2019,am,1434,complete
2019,ap,32,complete
2019,ma,237,complete
2019,mt,1702,complete
2019,pa,4172,complete
2019,ro,1257,complete
2019,rr,590,complete
2019,to,23,complete
2020,ac,706,complete
2020,am,1512,complete
2020,ap,24,complete
2020,ma,336,complete
2020,mt,1779,complete
2020,pa,4899,complete
2020,ro,1273,complete
2020,rr,297,complete
2020,to,25,complete
2021,ac,889,complete
2021,am,2306,complete
2021,ap,17,complete
2021,ma,350,complete
2021,mt,2213,complete
2021,pa,5238,complete
2021,ro,1673,complete
2021,rr,315,complete
2021,to,37,complete
2022,ac,847,until november
2022,am,2607,until november
2022,ap,6,until november
2022,ma,282,until november
2022,mt,1906,until november
2022,pa,4141,until november
2022,ro,1512,until november
2022,rr,240,until november
2022,to,27,until november
